City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Lagoa,PT,39.05,-27.9833,61.61,79,100,23.06,overcast clouds
121,Zabaykalsk,RU,49.6333,117.3167,4.42,86,82,4.45,broken clouds
122,Faanui,PF,-16.4833,-151.75,80.8,77,28,12.35,light rain
123,Bulungu,CD,-4.55,18.6,68.72,92,100,2.13,overcast clouds
124,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,34,10.89,scattered clouds
125,Broken Hill,AU,-31.95,141.4333,95.7,14,3,9.93,clear sky
126,Sogamoso,CO,5.7143,-72.9339,51.84,91,95,2.75,overcast clouds
127,Ascension,US,30.2169,-90.9001,65.05,94,99,8.88,overcast clouds
128,Ligayan,PH,4.6533,119.4706,79.14,84,100,13.13,overcast clouds
129,Vardo,NO,70.3705,31.1107,22.98,68,100,37.98,light snow
130,Auki,SB,-8.7676,160.7034,86.45,62,48,10.07,scattered clouds
131,Ponta Do Sol,PT,32.6667,-17.1,64.71,81,6,1.32,clear sky
132,Meaford,CA,44.6001,-80.583,30.52,89,93,10.29,overcast clouds
133,Mersing,MY,2.4312,103.8405,78.71,94,20,2.3,few clouds
134,Cordoba,AR,-31.4135,-64.1811,82.24,43,0,6.91,clear sky
135,Bentiu,SS,9.2333,29.8333,70.34,29,17,5.41,few clouds
136,Albany,US,42.6001,-73.9662,29.23,77,1,0.96,clear sky
137,Eyl,SO,7.9803,49.8164,73.94,77,82,14.58,broken clouds
138,Margate,GB,51.3813,1.3862,45.1,89,100,5.01,light rain
139,Ternate,ID,0.8,127.4,81.12,82,86,10.31,overcast clouds
140,Hue,VN,16.4667,107.6,66.31,100,100,6.91,mist
141,Grand Gaube,MU,-20.0064,57.6608,77.4,76,4,1.99,clear sky
142,Guerrero Negro,MX,27.9769,-114.0611,59.63,72,0,8.23,clear sky
143,Russell,US,32.3502,-85.1999,58.6,72,0,3.44,clear sky
144,Pangody,RU,65.85,74.4859,-8.0,98,99,11.21,overcast clouds
145,Lavrentiya,RU,65.5833,-171.0,-8.25,93,14,4.63,few clouds
146,Tasiilaq,GL,65.6145,-37.6368,19.56,60,59,8.37,broken clouds
147,Norman Wells,CA,65.282,-126.8329,-0.36,85,75,4.61,light snow
148,Nikolskoye,RU,59.7035,30.7861,10.29,91,99,10.11,overcast clouds
149,Monroe,US,43.1501,-77.6831,30.96,83,75,0.0,broken clouds
150,Teguise,ES,29.0605,-13.564,59.22,77,20,9.22,few clouds
151,Hasaki,JP,35.7333,140.8333,52.29,61,0,7.34,clear sky
152,Bengkulu,ID,-3.8004,102.2655,78.96,76,100,4.99,overcast clouds
153,Narsaq,GL,60.9167,-46.05,19.35,67,100,10.0,overcast clouds
154,San Rafael,AR,-34.6177,-68.3301,84.74,31,86,9.64,overcast clouds
155,Dumbea,NC,-22.15,166.45,82.36,68,78,14.05,broken clouds
156,Inta,RU,66.0317,60.1659,-12.23,98,100,12.64,overcast clouds
157,Frederick,US,39.4668,-77.3997,40.05,75,100,5.75,overcast clouds
158,Wewak,PG,-3.5534,143.6268,83.05,74,93,2.33,moderate rain
159,Bushehr,IR,28.9684,50.8385,48.29,81,20,4.61,few clouds
160,Severo-Kurilsk,RU,50.6789,156.125,25.77,66,97,15.93,overcast clouds
161,Monster,NL,52.0258,4.175,44.51,89,100,11.5,overcast clouds
162,Colomi,BO,-17.35,-65.8667,54.46,90,99,1.28,overcast clouds
163,Mandalgovi,MN,45.7625,106.2708,15.75,66,5,7.34,clear sky
164,Fengzhen,CN,40.4394,113.1536,26.31,47,8,2.08,clear sky
165,Sisimiut,GL,66.9395,-53.6735,11.16,76,80,8.75,broken clouds
166,Lebowakgomo,ZA,-24.2,29.5,55.85,71,7,3.24,clear sky
167,Dubbo,AU,-32.25,148.6167,87.93,23,2,5.75,clear sky
168,Bolu,TR,40.6667,31.5833,33.44,75,1,3.02,clear sky
169,Neiafu,TO,-18.65,-173.9833,86.68,84,75,11.5,broken clouds
170,Amantea,IT,39.1332,16.0746,51.44,76,34,2.84,scattered clouds
171,Mercedes,AR,-34.6515,-59.4307,74.79,62,0,14.25,clear sky
172,French Harbor,HN,16.35,-86.4333,77.07,93,29,7.02,scattered clouds
173,General Roca,AR,-39.0333,-67.5833,93.61,17,35,23.13,scattered clouds
174,Nuuk,GL,64.1835,-51.7216,23.56,87,100,8.66,overcast clouds
175,Taoudenni,ML,22.6783,-3.9836,58.71,23,100,12.06,overcast clouds
176,Vrangel,RU,42.7297,133.0839,23.79,57,7,16.55,clear sky
177,Bubaque,GW,11.2833,-15.8333,80.15,52,100,24.07,overcast clouds
178,Chipata,ZM,-13.6333,32.65,64.13,96,100,2.64,light rain
179,San Cristobal,VE,7.7669,-72.225,68.18,98,54,1.52,broken clouds
180,Tabuk,PH,17.4189,121.4443,73.83,76,45,3.89,scattered clouds
181,Yarega,RU,63.4354,53.5765,-21.42,100,100,4.83,overcast clouds
182,Saint-Joseph,RE,-21.3667,55.6167,75.58,78,16,10.42,few clouds
183,East London,ZA,-33.0153,27.9116,67.53,86,1,12.28,clear sky
184,Huntingdon,GB,52.3305,-0.1865,41.02,93,71,8.08,broken clouds
185,Tabas,IR,33.5959,56.9244,46.98,45,0,2.15,clear sky
186,Sur,OM,22.5667,59.5289,68.18,78,0,2.19,clear sky
187,Henties Bay,NA,-22.116,14.2845,64.58,91,12,7.76,few clouds
188,Urumita,CO,10.5589,-73.0123,81.01,83,33,5.08,scattered clouds
189,Rocha,UY,-34.4833,-54.3333,64.94,88,0,9.4,clear sky
190,Laguna,US,38.421,-121.4238,58.05,80,75,6.91,broken clouds
191,Chapais,CA,49.7834,-74.8492,15.58,94,100,9.24,light snow
192,Port Lincoln,AU,-34.7333,135.8667,70.36,66,16,13.8,few clouds
193,Parabel,RU,58.6978,81.4825,0.19,91,100,15.7,overcast clouds
194,Nhulunbuy,AU,-12.2333,136.7667,83.01,83,75,4.61,broken clouds
195,Buraydah,SA,26.326,43.975,57.65,76,100,9.24,light rain
196,Nkhata Bay,MW,-11.6066,34.2907,72.68,86,100,4.7,light rain
197,Mecca,SA,21.4267,39.8261,68.25,74,39,2.46,scattered clouds
198,Kodiak,US,57.79,-152.4072,29.71,86,100,12.66,snow
199,Awjilah,LY,29.1081,21.2869,52.84,82,0,9.75,clear sky
200,Mitchell,US,43.7094,-98.0298,10.38,85,0,5.75,haze
201,Skagen,DK,57.7209,10.5839,41.63,96,48,14.52,scattered clouds
202,Hoquiam,US,46.9809,-123.8893,48.99,87,100,18.41,overcast clouds
203,Kavaratti,IN,10.5669,72.642,81.72,66,0,10.18,clear sky
204,Manga,BF,11.6636,-1.0731,71.94,21,6,9.06,clear sky
205,San-Pedro,CI,4.7485,-6.6363,77.05,90,29,6.44,scattered clouds
206,Wanning,CN,18.8003,110.3967,68.49,93,99,6.89,overcast clouds
207,Asau,RO,46.4333,26.4,36.52,92,33,3.89,scattered clouds
208,Hay River,CA,60.8156,-115.7999,-0.42,85,100,3.44,overcast clouds
209,Mehamn,NO,71.0357,27.8492,19.35,93,100,42.57,light snow
210,Iralaya,HN,15.0,-83.2333,75.79,85,80,7.27,light rain
211,Pala,TD,9.3642,14.9046,68.41,20,99,8.34,overcast clouds
212,Pemangkat,ID,1.1667,108.9667,80.91,80,91,2.55,overcast clouds
213,Chaihe,CN,44.7667,129.7,8.42,77,10,6.67,clear sky
214,Mahajanga,MG,-15.7167,46.3167,73.42,100,40,5.75,thunderstorm with light rain
